Date,Open,High,Low,Close,Adj Close,Volume
2019-04-11,56.090000,56.360001,55.007999,55.349998,55.349998,1178900
2019-04-12,55.750000,55.860001,54.810001,55.250000,55.250000,1308300
2019-04-15,55.360001,56.650002,55.160000,55.419998,55.419998,2226500
2019-04-16,55.770000,56.020000,54.810001,55.209999,55.209999,1200500
2019-04-17,55.450001,55.490002,52.090000,53.180000,53.180000,2390100
2019-04-18,53.200001,53.500000,50.919998,52.790001,52.790001,1941000
2019-04-22,52.740002,54.366001,52.500000,54.130001,54.130001,1043200
2019-04-23,54.400002,55.550999,54.200001,55.240002,55.240002,1497800
2019-04-24,55.470001,56.250000,55.090000,55.840000,55.840000,1122000
2019-04-25,56.209999,57.639999,55.900002,57.009998,57.009998,2476000
2019-04-26,57.200001,57.950001,56.650002,57.259998,57.259998,1557000
2019-04-29,57.610001,58.369999,57.029999,57.660000,57.660000,1517500
2019-04-30,56.500000,56.939999,55.375000,56.669998,56.669998,2242900
2019-05-01,57.099998,57.419998,55.799999,55.820000,55.820000,1501900
2019-05-02,55.770000,56.500999,54.040001,54.889999,54.889999,1448000
2019-05-03,55.080002,56.730000,54.549999,56.459999,56.459999,1657800
2019-05-06,54.919998,56.720001,54.209999,55.889999,55.889999,1610500
2019-05-07,54.980000,55.500000,52.310001,53.230000,53.230000,2198400
2019-05-08,53.220001,53.980000,52.689999,53.590000,53.590000,1481100
2019-05-09,52.779999,54.000000,51.520000,53.500000,53.500000,1320600
2019-05-10,53.049999,53.882000,50.950001,53.049999,53.049999,1398500
2019-05-13,51.419998,51.770000,50.020000,50.419998,50.419998,1607400
2019-05-14,51.000000,52.840000,50.900002,52.540001,52.540001,2335800
2019-05-15,52.290001,53.900002,52.000000,53.669998,53.669998,1300500
2019-05-16,53.689999,55.320000,53.689999,54.740002,54.740002,1393600
2019-05-17,54.220001,54.840000,53.549999,53.590000,53.590000,1017400
2019-05-20,52.770000,53.689999,51.900002,53.169998,53.169998,999600
2019-05-21,53.810001,54.939999,53.810001,54.759998,54.759998,1353100
2019-05-22,54.590000,55.279999,54.020000,54.779999,54.779999,1898500
2019-05-23,53.980000,54.000000,52.520000,53.209999,53.209999,1248900
2019-05-24,53.759998,54.759998,53.509998,54.099998,54.099998,988700
2019-05-28,54.250000,55.099998,53.880001,54.470001,54.470001,5576200
2019-05-29,53.959999,54.820000,52.775002,54.380001,54.380001,1448400
2019-05-30,54.509998,55.700001,54.509998,55.480000,55.480000,1471200
2019-05-31,54.299999,56.419998,54.070000,56.060001,56.060001,2904400
2019-06-03,56.000000,56.099998,50.250000,50.570000,50.570000,4240000
2019-06-04,52.500000,53.000000,50.735001,52.939999,52.939999,2249500
2019-06-05,53.639999,53.939999,51.889999,53.320000,53.320000,2409700
2019-06-06,53.770000,54.939999,52.770000,54.740002,54.740002,5258000
2019-06-07,47.020000,49.230000,45.674999,48.160000,48.160000,20954400
2019-06-10,49.630001,49.889999,47.599998,48.310001,48.310001,5639400
2019-06-11,48.580002,48.900002,47.320000,47.900002,47.900002,3807700
2019-06-12,47.900002,48.450001,47.540001,48.080002,48.080002,1578500
2019-06-13,48.450001,48.490002,47.610001,48.279999,48.279999,2095000
2019-06-14,47.810001,51.000000,47.799999,50.779999,50.779999,4208800
2019-06-17,50.900002,53.365002,50.799999,52.750000,52.750000,3103900
2019-06-18,53.189999,54.200001,52.660000,53.509998,53.509998,3024200
2019-06-19,53.560001,53.880001,52.125000,53.090000,53.090000,1755200
2019-06-20,54.000000,54.959999,53.700001,54.869999,54.869999,2727300
2019-06-21,54.250000,54.869999,52.650002,52.830002,52.830002,3092300
2019-06-24,52.950001,53.380001,50.860001,51.009998,51.009998,2731000
2019-06-25,50.950001,51.570000,49.730000,49.830002,49.830002,1790800
2019-06-26,50.160000,50.650002,49.490002,49.490002,49.490002,2086000
2019-06-27,49.650002,51.139999,49.549999,50.650002,50.650002,2626000
2019-06-28,50.689999,51.084999,49.230000,49.709999,49.709999,6188800
2019-07-01,50.529999,51.160000,49.520000,50.650002,50.650002,1891700
2019-07-02,50.840000,51.860001,50.209999,51.340000,51.340000,1834700
2019-07-03,51.439999,51.799999,50.650002,51.650002,51.650002,1287800
2019-07-05,50.910000,52.200001,50.700001,52.160000,52.160000,1292900
2019-07-08,52.000000,52.235001,51.330002,51.650002,51.650002,1199100
2019-07-09,51.459999,52.520000,51.270000,52.000000,52.000000,2480800
2019-07-10,52.340000,53.000000,51.340000,51.349998,51.349998,1999500
2019-07-11,51.759998,53.880001,51.744999,53.799999,53.799999,2353500
2019-07-12,53.849998,53.900002,52.529999,53.200001,53.200001,1210700
2019-07-15,53.500000,54.169998,52.900002,54.049999,54.049999,845900
2019-07-16,54.000000,54.090000,53.320000,53.619999,53.619999,953900
2019-07-17,54.279999,54.299999,52.389999,52.770000,52.770000,1720900
2019-07-18,52.509998,53.299999,52.410000,53.049999,53.049999,2874300
2019-07-19,53.490002,53.490002,52.160000,52.419998,52.419998,1180700
2019-07-22,52.680000,52.970001,52.020000,52.369999,52.369999,2029300
2019-07-23,52.509998,53.230000,52.209999,52.939999,52.939999,836800
2019-07-24,52.669998,54.529999,52.529999,54.349998,54.349998,1211500
2019-07-25,54.299999,54.299999,52.230000,52.470001,52.470001,2386500
2019-07-26,52.810001,54.779999,52.669998,54.680000,54.680000,2809100
2019-07-29,54.660000,54.694000,52.360001,53.900002,53.900002,1370500
2019-07-30,53.549999,54.410000,53.180000,54.150002,54.150002,1190200
2019-07-31,54.169998,54.200001,51.299999,51.720001,51.720001,1981400
2019-08-01,51.730000,53.000000,49.520000,49.930000,49.930000,2106600
2019-08-02,49.860001,50.070000,48.250000,48.799999,48.799999,1533300
2019-08-05,47.000000,47.330002,43.930000,44.700001,44.700001,4647100
2019-08-06,45.590000,46.275002,44.119999,44.590000,44.590000,2990100
2019-08-07,44.000000,45.389999,43.250000,45.040001,45.040001,2439600
2019-08-08,45.830002,46.450001,44.110001,46.360001,46.360001,3181200
2019-08-09,45.919998,46.529999,44.630001,45.330002,45.330002,1900600
